kalian juga tidak banyak membantu terkait dengan jaringan kalian yang terbukti tidak berkualitas .	kalian juga tdk banyak membantu terkait dengan jaringan kalian yang terbukti tdk berkualitas
sinyal indosat di tempat aku , lebih baik dibandingkan dengan sinyal provider merah . padahal sama - sama menggunakan menara bersama . terima kasih .	indosat sinyal t4 ku mantap dibanding sinyal si provider merah . pdahal tower bersama lhoo . tks
memang berisik ini bertiga sampai di mention hahaha .	emng bacot ini ber3 sampe di mention dong wkwk
apakah bisa setor tunai ke tabungan bank lain melalui atm setor tunai bca ? terima kasih .	apakah bisa setor tunai ke tabungan bank lain melalui atm setor tunai bca ? terimakasih
bego hahaha . saya cek gojek lebih murah . kita coba lihat besok pagi . hahaha .	begee wkwkwk . gua cek gojek lebih murahh kita coba liat besok pagi dehh wkwk
mohon info mengapa saat mau check out transaksi , pilihan metode pengiriman tidak ada gosend atau grab - nya ? padahal di etalase ada pilihannya .	mohon info mengapa saat mau check out transaksi pilihan metode pengiriman tidak ada gosend ata grab nya , padahal di etalase ada pilihannya ?
halo admin , mau bertanya , mengapa setiap jam sekitar ini internet aku tidak bisa digunakan ? padahal jaringannya bagus . bolehkah saya minta tolong bantuannya ?	haloo , min mau tanya dong kenapa yaa setiap jam segini internet aku gabisa internetan padahal jaringanya bagus . boleh tolong bantuanya ?
shopee tangkap miliar jam malam .	shopee tangkap miliar jam malam
aku sudah jelaskan panjang lebar di dmnya dia .	aku udah jelaskan panjang lebar di dmnya doi
jujurlah padaku bila kamu tidak lagi cinta .	jujurlah padaku bila kau tak lagi cinta
saat ini sudah di jogja belum ?	saat ini sudah di jogja blm ?
percuma ! itu - itu saja jawabannya . tidak membantu sama sekali !	percuma ! itu2 saja jawabannya . tidak membantu sama sekali !
minta tolong cek dm admin . terima kasih sebelumnya .	minta tolong cek dm ya min , thankyou before
ini bagaimana daritadi apa benar tidak ada satu pun pengemudi yang bisa menerima ?	ini gimana yaa dari tadi masa gak ada satu pun driver yg bisa acc ?
apa yang dinilai ? kecepatan ngunyah ?	yang dinilai apaan tuh ? kecepatan ngunyah ?
apakah di bca kantor cabang purwokerto ada perbankan akhir pekan ? terima kasih .	apakah di bca kc purwokerto ada weekend banking ? tq
udah di dm , boleh dicek saja .	udah tak dm ya boleh di cek aja
hai , kak . maaf menjadi tidak nyaman . mengenai keluhannya apakah dapat diinfokan nomor yang digunakan melalui dm agar dapat admin periksa dahulu . terima kasih - ramlan .	hai , kak . maaf ya jadi gak nyaman . mengenai keluhannya bisa infokan nomor yang digunakan via dm biar mimin bantu cek dulu . makasih - ramlan
admin , mengapa akun saya tidak bisa login ?	min , kok akun saya gabisa login ya ?
halo , ini bagaimana tidak bisa di dm . sudah follow akunnya juga .	halo ini gimana gak bisa di dm . udah follow akunnya juga
kecewa dengan . yakin memilih voucher cashback sehingga tetap bayar ongkos kirim , tetapi saat barang sampai koin cashback tidak didapat !	kecewa sama yakin banget milih voucher cash back makanya tetap bayar ongkir , tp pas barang sampai coin cash back pun ga dapet !
mahal , tapi sayang lambat sekali .	mahal si , tapi sayang lemot banget hmm
fyi , android baru saja launch tanggal kemarin . dan hampir semua aplikasi banking tidak support .	fyi , android baru saja launch tgl kemarin . dan hampir semua aplikasi banking tidak support .
kalau ajukan pembatalan dimana pesanan barang yang dibeli sudah dibayar dan bayarnya pakai kartu kredit , mekanisme pengembalian dananya bagaimana ?	kalau ajukan pembatalan dimana pesanan barang yg dibeli sudah dibayar dan bayarnya pakai kartu kredit . mekanisme pengembalian dananya bagaimana ya ?
di sulawesi tengah , apakah smartfren sudah oke ?	di sulawesi tengah smartfren emang udah ok ?
saya sudah tahu macam - macam rekening bcanya , bagaimana untuk ktpnya ?	saya sudah tau macam2 rekening bca nya , nah bagaimana untuk ktp nya ?
ketika ibu menyuruh beli belanjaan ke warung .	ketika ema nyuru beli belanjaan ke warung
halo , tolong respons dm saya .	haloo tolong respon dm saya ya
sudah , tapi sinyal tidak stabil . loading terus .	udah sih . tapi sinyal ga stabil . loading terus
iya thas , haha . yang titip pb ong itu orangnya di balikpapan .	iyaa thas haha yg titip pb ong ituu orangnya di balikpapan
tolong bantuannya . resi tidak bisa dicek . mau tau barang saya sudah sampai mana .	tolong bantuanya resi gak bisa dicek mau tau barang saya udh sampe mana
